#group	filename	size_bytes	sha256	url
validate	test77-jan2022-2tb7p.high-simple-eval-1k.min-v2.binpack	62742754	71401e20bac4113353c7ee983b74ae30877af529cdc48dd59669912f9530ecdd	https://huggingface.co/datasets/official-stockfish/master-smallnet-binpacks/resolve/main/test77-jan2022-2tb7p.high-simple-eval-1k.min-v2.binpack
validate	test79-may2022-16tb7p-filter-v6-dd.min-mar2023.unmin.high-simple-eval-1k.min-v2.binpack	907788314	56a783aa31cbf69ee9b96bd9d30c65742771821ec6610145acb83d656c75ab6a	https://huggingface.co/datasets/official-stockfish/master-smallnet-binpacks/resolve/main/test79-may2022-16tb7p-filter-v6-dd.min-mar2023.unmin.high-simple-eval-1k.min-v2.binpack
train	test80-2024-02-feb-2tb7p.min-v2.v6.binpack.zst	6908056676	3343adf28e40d531166308d9ba4b26bdaccfbc52b6259fdea4496c441e409e40	https://huggingface.co/datasets/linrock/test80-2024/resolve/main/test80-2024-02-feb-2tb7p.min-v2.v6.binpack.zst
train	test80-2024-01-jan-2tb7p.min-v2.v6.binpack.zst	7687798524	dd233aea41b23bc5fbecade91e78080d785472742f02d04e83d66192d634d9c7	https://huggingface.co/datasets/linrock/test80-2024/resolve/main/test80-2024-01-jan-2tb7p.min-v2.v6.binpack.zst
train2	test80-2024-03-mar-2tb7p.min-v2.v6.binpack.zst	8760594062	c4ee5a778d4dc4129f1f851355e9235e7b8d5ccec57c30719bdd48d58b400535	https://huggingface.co/datasets/linrock/test80-2024/resolve/main/test80-2024-03-mar-2tb7p.min-v2.v6.binpack.zst
train2	test80-2024-05-may-2tb7p.min-v2.v6.binpack.zst	8846416555	8ee8038e734a2ad33a28b7035a8fc15d42becb0eeb36771eec7cf11508f9ad17	https://huggingface.co/datasets/linrock/test80-2024/resolve/main/test80-2024-05-may-2tb7p.min-v2.v6.binpack.zst
train3	test80-2024-04-apr-2tb7p.min-v2.v6.binpack.zst	12305706625	2127410e81993dc4cd77592b4e0eab731b6298008d7ca44cb7a1659f72dc1f56	https://huggingface.co/datasets/linrock/test80-2024/resolve/main/test80-2024-04-apr-2tb7p.min-v2.v6.binpack.zst
train3	test80-2024-06-jun-2tb7p.min-v2.v6.binpack.zst	7900797810	0622b18c23c11250d66d149db24795b05f4baec0bca1ab319f85a6589bd69658	https://huggingface.co/datasets/linrock/test80-2024/resolve/main/test80-2024-06-jun-2tb7p.min-v2.v6.binpack.zst
sf	dfrc_n5000.binpack	37483192507	d39499f57b07e80715dafefa52e645d509d2d7cd260ed9274633ba87e8151319	https://huggingface.co/datasets/official-stockfish/master-binpacks/resolve/main/dfrc_n5000.binpack
sf	nodes5000pv2_UHO.binpack	40292454358	7a80e6d233d4df954e162e0d992b768bf1799154289f08299735ddd1ba2bdc34	https://huggingface.co/datasets/official-stockfish/master-binpacks/resolve/main/nodes5000pv2_UHO.binpack
sf	farseerT75.binpack	46983203020	f1907be568d4a48297dd28c2060c53b07ee4170e4e9392faa525d6d697948441	https://huggingface.co/datasets/official-stockfish/master-binpacks/resolve/main/farseerT75.binpack
sf	data_pv-2_diff-100_nodes-5000.binpack	31580023731	f915acca0edf21f275b4dae9f7d3883f80723a26f0114bdd1983fc69b8d2ed93	https://huggingface.co/datasets/official-stockfish/master-binpacks/resolve/main/data_pv-2_diff-100_nodes-5000.binpack
sf2	T60T70wIsRightFarseer.binpack	32981564118	8c329b988c02bdf4ccc13b3cc627f69531b8b6bb1719f17f775f49476d045c70	https://huggingface.co/datasets/official-stockfish/master-binpacks/resolve/main/T60T70wIsRightFarseer.binpack
sf2	multinet_pv-2_diff-100_nodes-5000.binpack	27640096171	0e84b93c984d89e65861a3a8223899c023eb726b7e301e6dca0f796ddf438465	https://huggingface.co/datasets/official-stockfish/master-binpacks/resolve/main/multinet_pv-2_diff-100_nodes-5000.binpack
sf2	farseerT74.binpack	20144023865	cebf6e5aa62a0df447f3748c90a542ded13105c873a1a819d7f71bdf041ca8cb	https://huggingface.co/datasets/official-stockfish/master-binpacks/resolve/main/farseerT74.binpack
sf2	training_data_pylon.binpack	14366468016	0fa28b2f3844b7b0e8b8a2f5bcc3adb47bc0c29a5370f0c35e3845500df19b58	https://huggingface.co/datasets/official-stockfish/master-binpacks/resolve/main/training_data_pylon.binpack
sf2	test80-2022-08-aug-16tb7p.v6-dd.min.binpack	10809713086	0d22957b8d4f0f8e6f2913be7b744b2dab5178c3563e0f916312d0d94c28b92b	https://huggingface.co/datasets/official-stockfish/master-binpacks/resolve/main/test80-2022-08-aug-16tb7p.v6-dd.min.binpack
sf2	wrongIsRight_nodes5000pv2.binpack	7319926088	54cbbfaf528df4c0198f4788823512c0c2dbba2913075c4022992c74247a9e8e	https://huggingface.co/datasets/official-stockfish/master-binpacks/resolve/main/wrongIsRight_nodes5000pv2.binpack
sf2	farseerT76.binpack	6141321549	255956f2d28d78e5eb050aa542d768b0d8e0667ea09bb250effc83706f26da54	https://huggingface.co/datasets/official-stockfish/master-binpacks/resolve/main/farseerT76.binpack
sf2	fishpack32.binpack	5579166857	04f90dcba242682cdb509e675ce590eff3676ea8b84a20e6baa8b5020f16ed16	https://huggingface.co/datasets/official-stockfish/master-binpacks/resolve/main/fishpack32.binpack
sf2	wrongNNUE_02_d9.binpack	5781185404	9cd1ef5864c756a7701b10a2ae8e58b47d798a8f0d63ac46407ce393a8c7b1f0	https://huggingface.co/datasets/official-stockfish/master-binpacks/resolve/main/wrongNNUE_02_d9.binpack
relabel2	test80-2023-01-jan-16tb7p.v6-sk20.min.relabel-BT4-tf13tune.binpack	12698871197	d210ca6fa47c42a27ca1af5da6cb0807b94e60c3bc1cfa75b377edf3150ce01d	https://huggingface.co/datasets/vondele/linrock_relabel_2/resolve/main/test80-2023-01-jan-16tb7p.v6-sk20.min.relabel-BT4-tf13tune.binpack
relabel2	test80-2023-02-feb-16tb7p.v6-dd.min.relabel-BT4-tf13tune.binpack	10359292788	46f00adec322a7cbd4b7257401a31e7b98525143337e06bb2f397b3777b2dce1	https://huggingface.co/datasets/vondele/linrock_relabel_2/resolve/main/test80-2023-02-feb-16tb7p.v6-dd.min.relabel-BT4-tf13tune.binpack
relabel2	test80-2023-03-mar-2tb7p.v6-sk16.min.relabel-BT4-tf13tune.binpack	14732039950	361eaab43043f82347d4c97ac9bc969024c54b36681b477f7dedda186047fdc1	https://huggingface.co/datasets/vondele/linrock_relabel_2/resolve/main/test80-2023-03-mar-2tb7p.v6-sk16.min.relabel-BT4-tf13tune.binpack
relabel2	test80-2023-04-apr-2tb7p.v6-sk16.min.relabel-BT4-tf13tune.binpack	15079776962	b95a589c650f9c69f9d33bf717eceea300155bd0daa4f25201a650d654792e2f	https://huggingface.co/datasets/vondele/linrock_relabel_2/resolve/main/test80-2023-04-apr-2tb7p.v6-sk16.min.relabel-BT4-tf13tune.binpack
relabel2	test80-2023-05-may-2tb7p.v6.min.relabel-BT4-tf13tune.binpack	15274946491	18e149e97c5420f9556e9e2d0f375138e4a9bca62987fc7e31392adda61d2b9e	https://huggingface.co/datasets/vondele/linrock_relabel_2/resolve/main/test80-2023-05-may-2tb7p.v6.min.relabel-BT4-tf13tune.binpack
relabel2	test80-2023-06-jun-2tb7p.min-v2.v6.relabel-BT4-tf13tune.binpack	17983836266	3aa98c2658ef27e013c1a7a95227e5d01a32f207e5150a6b4266220c77ccf75b	https://huggingface.co/datasets/vondele/linrock_relabel_2/resolve/main/test80-2023-06-jun-2tb7p.min-v2.v6.relabel-BT4-tf13tune.binpack
relabel2	test80-2023-07-jul-2tb7p.min-v2.v6.relabel-BT4-tf13tune.binpack	16521032727	7eb64a6330a1c12a1d5ef0971fd15bf38a29680bdd24935015279c9765cf2e08	https://huggingface.co/datasets/vondele/linrock_relabel_2/resolve/main/test80-2023-07-jul-2tb7p.min-v2.v6.relabel-BT4-tf13tune.binpack
relabel2	test80-2023-08-aug-2tb7p.v6.min.relabel-BT4-tf13tune.binpack	7294509271	ca2d10b622fa3de8536928eefec0a4a6c5c0ecd2d74bc74a2d0aeb158ffe44b0	https://huggingface.co/datasets/vondele/linrock_relabel_2/resolve/main/test80-2023-08-aug-2tb7p.v6.min.relabel-BT4-tf13tune.binpack
relabel2	test80-2023-09-sep-2tb7p.min-v2.v6.relabel-BT4-tf13tune.binpack	8627821314	1f8c260da0ac57d7a42e22df7579697fc0fc37ac1268c0f51badcdf86049015e	https://huggingface.co/datasets/vondele/linrock_relabel_2/resolve/main/test80-2023-09-sep-2tb7p.min-v2.v6.relabel-BT4-tf13tune.binpack
relabel2	test80-2023-10-oct-2tb7p.min-v2.v6.relabel-BT4-tf13tune.binpack	7981817319	b475f067f92ec9642f3898b0e42f114243d81c2507c1aaae91f72398643eb21e	https://huggingface.co/datasets/vondele/linrock_relabel_2/resolve/main/test80-2023-10-oct-2tb7p.min-v2.v6.relabel-BT4-tf13tune.binpack
relabel2	test80-2023-11-nov-2tb7p.min-v2.v6.relabel-BT4-tf13tune.binpack	7214046403	5fde8d6392fa338932fdcb8bf6c5437b579a40e74618a7274c7953640a634b03	https://huggingface.co/datasets/vondele/linrock_relabel_2/resolve/main/test80-2023-11-nov-2tb7p.min-v2.v6.relabel-BT4-tf13tune.binpack
relabel2	test80-2023-12-dec-2tb7p.min-v2.v6.relabel-BT4-tf13tune.binpack	7987875858	980ba505c930c61916bff324a80071f021d42f8a62b2f220ab482065b4e10a4d	https://huggingface.co/datasets/vondele/linrock_relabel_2/resolve/main/test80-2023-12-dec-2tb7p.min-v2.v6.relabel-BT4-tf13tune.binpack
t91	test91-2026-01-jan-69gb6p.min-v2.v6.binpack	5580345401	4de399c711b6baba8ec179feb1b49461daf13a56cf7db76fbf39a43d9b55ce00	https://huggingface.co/datasets/adamtwiss/t91-binpacks-filtered/resolve/main/test91-2026-01-jan-69gb6p.min-v2.v6.binpack
t91	test91-2026-02-feb-69gb6p.min-v2.v6.binpack	2686420863	0994dd138e1fae19bfa70b018555f1692fbf819f8f6798eede20a3bb967efe43	https://huggingface.co/datasets/adamtwiss/t91-binpacks-filtered/resolve/main/test91-2026-02-feb-69gb6p.min-v2.v6.binpack
t91	test91-2026-03-mar-69gb6p.min-v2.v6.binpack	1412310953	c4df1f5dd08e9113ad58d2e288d7493b331be71552fd954e2b01e015b3da517c	https://huggingface.co/datasets/adamtwiss/t91-binpacks-filtered/resolve/main/test91-2026-03-mar-69gb6p.min-v2.v6.binpack
t91	test91-2026-04-apr-69gb6p.min-v2.v6.binpack	1202786867	d7276eff6f33b34a4afd6ef8e4c3dfbe3452f593296e6aae5fdd9dc1c84c464f	https://huggingface.co/datasets/adamtwiss/t91-binpacks-filtered/resolve/main/test91-2026-04-apr-69gb6p.min-v2.v6.binpack
t91	test91-2026-05-may-69gb6p.min-v2.v6.binpack	1735406999	60bafeff766f63a4b11d4390d31d97907c2da71c339fcf463cd9fc45fb7ce2aa	https://huggingface.co/datasets/adamtwiss/t91-binpacks-filtered/resolve/main/test91-2026-05-may-69gb6p.min-v2.v6.binpack
