23:14 superbatch 2 [ superbatch 2 [  
23:19 superbatch 12 [ superbatch 13 [ /workspace/checkpoints/anna-v6-s0-10/ 
23:24 superbatch 9 [ superbatch 9 [  
23:29 superbatch 20 [ superbatch 20 [ /workspace/checkpoints/anna-v6-s0-10/ 
23:35 superbatch 30 [ superbatch 30 [ /workspace/checkpoints/anna-v6-s0-20/ 
23:40 superbatch 10 [ superbatch 10 [ /workspace/checkpoints/anna-v6-s0-30/ 
23:45 superbatch 21 [ superbatch 21 [ /workspace/checkpoints/anna-v6-s1-20/ 
23:50 superbatch 31 [ superbatch 31 [ /workspace/checkpoints/anna-v6-s1-30/ 
23:55 superbatch 42 [ superbatch 42 [ /workspace/checkpoints/anna-v6-s1-40/ 
00:00 superbatch 53 [ superbatch 53 [ /workspace/checkpoints/anna-v6-s1-50/ 
00:05 superbatch 63 [ superbatch 63 [ /workspace/checkpoints/anna-v6-s1-60/ 
00:10 superbatch 74 [ superbatch 74 [ /workspace/checkpoints/anna-v6-s1-70/ 
00:15 superbatch 84 [ superbatch 84 [ /workspace/checkpoints/anna-v6-s1-80/ 
00:20 superbatch 95 [ superbatch 95 [ /workspace/checkpoints/anna-v6-s1-90/ 
00:25 superbatch 106 [ superbatch 106 [ /workspace/checkpoints/anna-v6-s1-100/ 
00:30 superbatch 116 [ superbatch 116 [ /workspace/checkpoints/anna-v6-s1-110/ 
00:35 superbatch 127 [ superbatch 127 [ /workspace/checkpoints/anna-v6-s1-120/ 
00:40 superbatch 137 [ superbatch 137 [ /workspace/checkpoints/anna-v6-s1-130/ 
00:45 superbatch 148 [ superbatch 148 [ /workspace/checkpoints/anna-v6-s1-140/ 
00:50 superbatch 158 [ superbatch 158 [ /workspace/checkpoints/anna-v6-s1-150/ 
00:55 superbatch 169 [ superbatch 169 [ /workspace/checkpoints/anna-v6-s1-160/ 
01:01 superbatch 180 [ superbatch 180 [ /workspace/checkpoints/anna-v6-s1-170/ 
01:06 superbatch 191 [ superbatch 191 [ /workspace/checkpoints/anna-v6-s1-190/ 
01:11 superbatch 202 [ superbatch 202 [ /workspace/checkpoints/anna-v6-s1-200/ 
01:16 superbatch 213 [ superbatch 213 [ /workspace/checkpoints/anna-v6-s1-210/ 
01:21 superbatch 224 [ superbatch 224 [ /workspace/checkpoints/anna-v6-s1-220/ 
01:26 superbatch 235 [ superbatch 235 [ /workspace/checkpoints/anna-v6-s1-230/ 
01:31 superbatch 246 [ superbatch 247 [ /workspace/checkpoints/anna-v6-s1-240/ 
01:36 superbatch 257 [ superbatch 257 [ /workspace/checkpoints/anna-v6-s1-250/ 
01:41 superbatch 268 [ superbatch 268 [ /workspace/checkpoints/anna-v6-s1-260/ 
