lmr115 STOPPED games=276 | Elo: 0 (79-79-118) | neutral, manual | new=[option.LmrScalePct=115] base=[option.LmrScalePct=100]
rfp60 FAIL games=4190 | Elo: -8.54 +/- 6.15 | LLR -2.96 | new=[option.RfpMult=60] base=[option.RfpMult=45]
nmp4 STOPPED Games:2440, | Elo: -11.40 +/- 8.26, nElo: -1 | neutral, stopped for TC switch | new=[option.NmpBase=4] base=[option.NmpBase=5]
lmp4 STOPPED games=3002 | Elo: 7.06 +/- 7.69, nElo: 11.41 +/- 12.43 | LLR: 1.11 (37.6%) (-2.94, 2.94) [0.00, 5.00] | new=[option.LmpBase=4      ] base=[option.LmpBase=3]
syzygy STOPPED games=3000 | Elo: 8.69 +/- 7.81, nElo: 13.84 +/- 12.43 | LLR: 1.40 (47.7%) (-2.94, 2.94) [0.00, 5.00] | new=[option.SyzygyPath=syzygy] base=[option.SyzygyProbeLimit=0]
tm_opt85 STOPPED games=3002 | Elo: 3.94 +/- 7.65, nElo: 6.39 +/- 12.43 | LLR: 0.48 (16.4%) (-2.94, 2.94) [0.00, 5.00] | new=[option.TmOptPct=85    ] base=[option.TmOptPct=100]
tm_opt120 FAIL games=2626 | Elo: -15.89 +/- 8.50, nElo: -24.88 +/- 13.29 | LLR: -2.95 (-100.3%) (-2.94, 2.94) [0.00, 5.00] | new=[option.TmOptPct=120   ] base=[option.TmOptPct=100]
fut160 STOPPED Games:800, | Elo: -16.08 +/- 14.87, nElo: | queue stopped by owner | new=[option.FutMargin=160] base=[option.FutMargin=119]
threat_hist Elo: 1.09 +/- 7.59, nElo: 1.82 +/- 12.69 LLR: -0.08 (-2.8%) (-2.94, 2.94) [0.00, 5.00] 
settm STOPPED | Elo: 3.65 +/- 8.96, nElo: 6.20 +/- 15.23 | LLR: 0.31 (10.4%) (-2.94, 2.94) [0.00, 5.00]
thorder STOPPED | Elo: 3.30 +/- 9.47, nElo: 5.31 +/- 15.23 | LLR: 0.23 (7.9%) (-2.94, 2.94) [0.00, 5.00]
g3_sflmr PASS games=4938 | Elo: 9.71 +/- 5.55, nElo: 16.98 +/- 9.69 | LLR: 2.96 (100.4%) (-2.94, 2.94) [0.00, 5.00] | new=[option.SfLmr=1] base=[option.SfLmr=0] tc=5+0.05 rc=0
g4_sfcorr PASS games=1546 | Elo: 28.87 +/- 9.88, nElo: 50.88 +/- 17. | LLR: 2.98 (101.3%) (-2.94, 2.94) [0.00, 5.00] | new=[option.SfCorr=1] base=[option.SfCorr=0] tc=5+0.05 rc=0
g5_sfpick PASS games=3983 | Elo: 11.35 +/- 5.97, nElo: 20.54 +/- 10. | LLR: 2.96 (100.4%) (-2.94, 2.94) [0.00, 5.00] | new=[option.SfPick=1] base=[option.SfPick=0] tc=5+0.05 rc=0
g6_sfqs PASS games=8658 | Elo: 6.14 +/- 4.18, nElo: 10.74 +/- 7.32 | LLR: 2.96 (100.4%) (-2.94, 2.94) [0.00, 5.00] | new=[option.SfQs=1] base=[option.SfQs=0] tc=5+0.05 rc=0
g1_sfprune STOPPED games=10093 | Elo: 0.90 +/- 4.25, nElo: 1.43 +/- 6.78 | LLR: -0.45 (-15.2%) (-2.94, 2.94) [0.00, 5.00] | new=[option.SfPrune=1] base=[option.SfPrune=0] tc=5+0.05 rc=124
g7_sftm FAIL games=4403 | Elo: -7.66 +/- 5.73, nElo: -13.71 +/- 10 | LLR: -2.95 (-100.2%) (-2.94, 2.94) [0.00, 5.00] | new=[option.SfTm=1] base=[option.SfTm=0] tc=5+0.05 rc=0
